accession	order	checkm2_completeness	checkm2_contamination
GB_GCA_038893835.1	Archaeoglobales	97.39	0.0
GB_GCA_000495735.1	Sulfolobales	99.4	0.26
GB_GCA_027061785.1	Korarchaeales	98.54	1.65
GB_GCA_020056305.1	Anstonellales	90.12	0.8
RS_GCF_900196725.1	Methanosarcinales	100.0	5.18
RS_GCF_024362525.1	Halobacteriales	98.62	0.17
GB_GCA_021800035.1	Marsarchaeales	84.93	2.53
GB_GCA_933226995.1	Nitrososphaerales	83.27	1.52
GB_GCA_015063035.1	Methanobacteriales	95.56	1.74
GB_GCA_026986375.1	Archaeoglobales	99.94	0.12
RS_GCF_000336695.1	Halobacteriales	94.92	0.72
GB_GCA_041641305.1	Caldarchaeales	99.29	0.17
RS_GCF_001469955.1	Halobacteriales	99.86	0.54
RS_GCF_025699065.1	Nitrososphaerales	99.68	0.02
GB_GCA_030649345.1	Iainarchaeales	94.63	0.86
GB_GCA_038728085.1	Bathyarchaeales	97.73	2.29
GB_GCA_038883855.1	Bathyarchaeales	85.14	0.8
RS_GCF_015062905.1	Methanobacteriales	88.35	1.72
RS_GCF_001006045.1	Archaeoglobales	99.99	0.05
RS_GCF_024807655.1	Methanococcales	97.43	0.02
RS_GCF_900774055.1	Methanosarcinales	99.93	0.11
GB_GCA_023379385.1	UBA184	93.8	0.51
RS_GCF_000970025.1	Methanosarcinales	99.88	0.94
RS_GCF_003383095.1	Halobacteriales	99.89	1.65
RS_GCF_001889405.1	Methanosarcinales	99.97	0.1
GB_GCA_024256165.1	Nitrososphaerales	96.29	2.95
GB_GCA_001543015.1	Nitrososphaerales	98.63	0.02
RS_GCF_017873815.1	Halobacteriales	97.74	1.31
GB_GCA_001510275.1	Nitrososphaerales	96.62	0.0
RS_GCF_001280455.1	Halobacteriales	99.99	2.32
RS_GCF_000746205.1	Halobacteriales	99.99	0.07
GB_GCA_009903775.1	Conexivisphaerales	79.84	1.5
RS_GCF_009663395.1	Halobacteriales	99.85	1.54
GB_GCA_023434825.1	Methanobacteriales	93.79	1.64
GB_GCA_013388895.1	Bathyarchaeales	95.81	2.16
GB_GCA_003565715.1	Methanosarcinales	93.95	0.3
GB_GCA_036380415.1	Nitrososphaerales	90.97	0.88
RS_GCF_001639265.1	Methanobacteriales	92.85	0.0
GB_GCA_020832905.1	Methanomethylicales	92.47	0.63
RS_GCF_023195915.1	Methanomicrobiales	99.88	1.63
GB_GCA_030597775.1	DTKX01	70.76	2.67
GB_GCA_035527235.1	TCS64	92.81	6.65
RS_GCF_009831625.1	Halobacteriales	99.98	2.17
RS_GCF_025699125.1	Nitrososphaerales	99.98	0.41
RS_GCF_019669965.1	Methanomicrobiales	99.63	1.65
RS_GCF_000336615.1	Halobacteriales	99.99	0.78
RS_GCF_025517525.1	Halobacteriales	99.06	1.55
RS_GCF_035560735.1	Methanomicrobiales	94.1	0.84
RS_GCF_018141185.1	Methanobacteriales	99.92	0.03
GB_GCA_905187815.1	Methanomassiliicoccales	97.54	0.38
RS_GCF_029872365.1	Halobacteriales	99.99	0.53
GB_GCA_041481365.1	Bathyarchaeales	93.22	2.73
GB_GCA_004028775.1	Methanomethylicales	96.73	0.31
RS_GCF_000336815.1	Halobacteriales	98.81	1.02
GB_GCA_003020965.1	Halobacteriales	88.96	0.1
RS_GCF_011440375.1	Halobacteriales	99.79	1.82
GB_GCA_035529455.1	UBA10834	90.55	3.03
GB_GCA_032127635.1	Nitrososphaerales	90.97	0.24
GB_GCA_029263715.1	Nitrososphaerales	93.57	0.59
RS_GCF_001593955.1	Halobacteriales	94.55	0.35
RS_GCF_031432215.1	Halobacteriales	99.96	0.1
GB_GCA_009649835.1	Methanosarcinales	84.94	0.0
GB_GCA_014859725.1	Methanosarcinales	96.04	0.46
RS_GCF_035621495.1	Thermococcales	99.97	0.17
RS_GCF_019879105.1	Halobacteriales	99.13	4.4
GB_GCA_001564275.1	Halobacteriales	91.15	0.25
GB_GCA_021790425.1	UBA184	98.56	0.26
GB_GCA_001627235.1	Nitrososphaerales	85.19	0.13
RS_GCF_041821085.1	Halobacteriales	99.91	2.1
GB_GCA_029887795.1	Methanomethylicales	92.25	0.61
RS_GCF_024300825.1	Halobacteriales	99.99	4.2
RS_GCF_001315985.1	Thermoproteales	67.75	0.46
GB_GCA_026419855.1	Methanotrichales	99.88	0.32
GB_GCA_022750455.1	UBA184	92.75	0.11
GB_GCA_963637895.1	Methanomassiliicoccales	94.36	1.34
GB_GCA_037444045.1	Sulfolobales	92.82	3.2
RS_GCF_000691865.1	Methanomicrobiales	96.22	1.78
RS_GCF_002355655.1	Halobacteriales	99.55	0.21
GB_GCA_009781395.1	Bathyarchaeales	94.73	2.52
RS_GCF_900103715.1	Halobacteriales	99.68	0.48
GB_GCA_029785825.1	Nitrososphaerales	100.0	1.81
GB_GCA_944320495.1	Methanomassiliicoccales	90.58	1.8
GB_GCA_038826755.1	Bathyarchaeales	95.54	1.45
RS_GCF_036625485.1	Halobacteriales	80.41	0.25
GB_GCA_030019205.1	Methanomicrobiales	99.59	0.38
GB_GCA_038729485.1	Thermoplasmatales	92.15	0.08
GB_GCA_020346825.1	Bathyarchaeales	69.71	1.8
GB_GCA_040770465.1	Methanotrichales	94.85	3.44
RS_GCF_021655615.1	Sulfolobales	99.99	0.95
RS_GCF_024972735.1	Halobacteriales	99.91	2.42
GB_GCA_014361205.1	Methanosarcinales	99.85	0.63
GB_GCA_016839365.1	Hermodarchaeales	83.66	2.99
GB_GCA_034659615.1	Methanosarcinales	96.01	0.26
RS_GCF_000591055.1	Halobacteriales	99.98	0.37
GB_GCA_016699555.1	Iainarchaeales	94.35	0.49
GB_GCA_038845865.1	Sulfolobales	99.48	0.65
GB_GCA_016212525.1	Anstonellales	89.61	0.52
GB_GCA_028714535.1	Anstonellales	91.4	1.89
GB_GCA_020348965.1	Hodarchaeales	70.69	1.98
GB_GCA_005888745.1	40CM-2-53-6	93.23	3.8
GB_GCA_027064845.1	Sulfolobales	92.37	6.36
RS_GCF_017873855.1	Methanomicrobiales	98.98	0.91
GB_GCA_031280375.1	Methanobacteriales	84.78	0.47
RS_GCF_000226975.2	Halobacteriales	99.99	0.58
GB_GCA_018396615.1	Bathyarchaeales	86.12	3.62
RS_GCF_001886955.1	Halobacteriales	99.97	0.16
GB_GCA_032598985.1	Bathyarchaeales	97.32	1.84
RS_GCF_030055635.1	Methanotrichales	99.75	0.0
RS_GCF_900317865.1	Methanobacteriales	92.22	1.92
GB_GCA_009778385.1	Bathyarchaeales	97.7	0.99
RS_GCF_900108095.1	Halobacteriales	99.2	2.69
GB_GCA_025058315.1	Bathyarchaeales	94.11	2.14
GB_GCA_013378385.1	Nitrososphaerales	96.25	1.18
GB_GCA_027051095.1	Sulfolobales	82.57	1.75
GB_GCA_022749895.1	UBA184	83.19	1.04
GB_GCA_030668825.1	Heimdallarchaeales	90.6	4.67
GB_GCA_019721075.1	Sysuiplasmatales	97.21	1.8
GB_GCA_023484105.1	Thermoplasmatales	94.85	0.02
GB_GCA_947628455.1	Methanobacteriales	83.79	0.59
GB_GCA_041550515.1	DHVEG-1	88.49	0.41
RS_GCF_030127165.1	Halobacteriales	99.3	2.21
GB_GCA_033549165.1	Methanosarcinales	99.94	2.87
GB_GCA_038852315.1	UBA10834	89.09	0.19
GB_GCA_951812655.1	Nitrososphaerales	99.06	0.09
GB_GCA_027314165.1	UBA184	85.72	0.38
GB_GCA_003552585.1	Halarchaeoplasmatales	91.29	0.85
GB_GCA_001761425.1	Nanosalinales	98.75	0.51
RS_GCF_000812185.1	Nitrososphaerales	99.5	0.02
RS_GCF_000025325.1	Halobacteriales	99.99	1.2
RS_GCF_000017625.1	Methanomicrobiales	99.98	0.27
RS_GCF_017873625.1	Methanobacteriales	99.63	1.0
GB_GCA_020344435.1	Bathyarchaeales	62.58	1.3
RS_GCF_000784355.1	Methanomicrobiales	98.23	1.12
RS_GCF_007671725.1	Halobacteriales	99.98	2.16
RS_GCF_001317345.1	Thermococcales	95.88	0.15
RS_GCF_004087835.1	Halobacteriales	99.83	1.11
RS_GCF_000243255.1	Methanomicrobiales	99.29	0.62
GB_GCA_019057385.1	Borrarchaeales	100.0	7.08
GB_GCA_025058835.1	Sulfolobales	92.65	0.06
RS_GCF_946478925.1	Nitrososphaerales	95.38	0.46
RS_GCF_023016325.1	Methanonatronarchaeales	100.0	0.17
RS_GCF_004114375.1	Halobacteriales	99.34	1.2
GB_GCA_038874475.1	Caldarchaeales	97.5	3.1
GB_GCA_004376295.1	Bathyarchaeales	99.79	1.22
RS_GCF_001368915.1	Halobacteriales	99.75	1.82
GB_GCA_003021725.1	Halobacteriales	88.04	0.29
GB_GCA_019685655.1	Bathyarchaeales	98.59	2.82
GB_GCA_011041895.1	DRAE01	85.12	0.0
GB_GCA_002495625.1	Methanobacteriales	99.99	1.38
GB_GCA_029776125.1	JACIWG01	85.78	1.65
GB_GCA_041603475.1	Nitrososphaerales	91.43	2.16
GB_GCA_004377185.1	RBG-16-68-12	93.65	2.19
GB_GCA_018383815.1	Jordiarchaeales	95.55	5.14
GB_GCA_938004075.1	SG8-5	87.08	0.5
GB_GCA_016931255.1	QMZP01	93.23	0.04
RS_GCF_000172995.2	Halobacteriales	99.99	0.56
RS_GCF_024464655.1	Halobacteriales	99.99	0.65
RS_GCF_024228315.1	Halobacteriales	99.73	4.55
GB_GCA_038827615.1	Sulfolobales	99.98	0.29
GB_GCA_002506335.1	Methanotrichales	94.04	0.16
GB_GCA_023393455.1	Methanomicrobiales	97.15	1.39
GB_GCA_011046235.1	UBA10834	89.43	0.65
GB_GCA_963632775.1	Methanomassiliicoccales	97.53	0.42
GB_GCA_024276695.1	Nitrososphaerales	99.48	0.59
GB_GCA_035543455.1	Methanomicrobiales	95.7	0.83
GB_GCA_019058495.1	Atabeyarchaeales	94.43	5.85
RS_GCF_024494685.1	Halobacteriales	98.08	0.76
RS_GCF_000621965.1	Methanobacteriales	99.97	0.21
RS_GCF_000211475.1	Thermococcales	99.92	0.21
RS_GCF_000007185.1	Methanopyrales	99.97	0.22
RS_GCF_000022205.1	Halobacteriales	99.94	0.48
GB_GCA_038894875.1	Nezhaarchaeales	92.92	0.23
RS_GCF_018623055.1	Halobacteriales	98.53	0.08
RS_GCF_024138125.1	Halobacteriales	99.95	1.15
GB_GCA_002839605.1	Methanomicrobiales	98.29	0.28
GB_GCA_013114725.1	Nitrososphaerales	90.89	0.47
GB_GCA_022353185.1	Methanosarcinales	98.68	5.59
RS_GCF_005543295.1	Halobacteriales	99.8	1.29
RS_GCF_024227435.1	Halobacteriales	99.83	3.86
RS_GCF_002727125.1	Halobacteriales	97.65	1.24
GB_GCA_040514265.1	Archaeoglobales	99.99	0.02
RS_GCF_900104065.1	Halobacteriales	99.43	0.99
RS_GCF_016065055.1	Halobacteriales	99.67	1.89
GB_GCA_903871465.1	Methanotrichales	99.62	1.62
GB_GCA_937892275.1	Methanomassiliicoccales	97.88	7.03
GB_GCA_038891515.1	Caldarchaeales	83.62	1.12
RS_GCF_002156705.1	Halobacteriales	99.84	0.46
GB_GCA_024653905.1	Iainarchaeales	92.38	0.68
GB_GCA_036833835.1	Thermoproteales	96.37	0.0
GB_GCA_029858305.1	Thorarchaeales	88.86	2.78
GB_GCA_002506905.1	Methanomassiliicoccales	99.31	0.67
RS_GCF_015521605.1	Thermococcales	99.69	0.71
GB_GCA_963640855.1	Methanomassiliicoccales	97.12	0.22
RS_GCF_900095295.1	Methanobacteriales	99.95	0.13
GB_GCA_034190325.1	UBA287	91.08	4.71
RS_GCF_023617305.1	Methanobacteriales	99.95	0.29
RS_GCF_031624635.1	Halobacteriales	99.87	3.87
RS_GCF_946184425.1	Methanobacteriales	93.0	1.3
RS_GCF_029338335.1	Halobacteriales	99.97	5.17
GB_GCA_027083045.1	Sulfolobales	93.38	0.16
RS_GCF_001282785.1	Halobacteriales	97.87	0.0
RS_GCF_013456555.2	Halobacteriales	99.97	6.65
RS_GCF_025399835.1	Halobacteriales	99.99	2.53
RS_GCF_030553305.1	Halobacteriales	99.93	1.63
GB_GCA_035502455.1	UBA184	93.82	1.32
GB_GCA_040514325.1	Sulfolobales	99.97	0.28
GB_GCA_038729085.1	Thermoplasmatales	92.88	0.0
GB_GCA_034679905.1	Methanomicrobiales	93.25	0.85
GB_GCA_022750205.1	UBA184	88.57	7.56
GB_GCA_035253865.1	Nitrososphaerales	92.55	3.16
RS_GCF_000263735.1	Thermococcales	99.95	0.14
RS_GCF_017875315.1	Methanomicrobiales	99.03	0.26
GB_GCA_031282205.1	Methanobacteriales	85.51	0.2
GB_GCA_030038075.1	Nitrososphaerales	85.88	5.04
GB_GCA_021817605.1	UBA184	100.0	0.14
GB_GCA_038845975.1	CALHIW01	93.28	4.28
GB_GCA_020348985.1	Thorarchaeales	86.04	4.96
GB_GCA_041662685.1	Methanomicrobiales	93.39	0.0
GB_GCA_041548445.1	Methanotrichales	89.55	1.55
GB_GCA_030041295.1	Nitrososphaerales	96.07	6.88
GB_GCA_038887515.1	Nezhaarchaeales	93.99	1.36
GB_GCA_023705905.1	Heimdallarchaeales	81.59	3.67
GB_GCA_036626195.1	Halarchaeoplasmatales	93.52	1.93
RS_GCF_003722075.1	Methanosarcinales	99.62	0.21
GB_GCA_002067705.1	Methanotrichales	99.19	3.73
GB_GCA_001896725.1	Methanosarcinales	99.97	0.35
GB_GCA_029887785.1	Nezhaarchaeales	95.01	1.75
RS_GCF_000011185.1	Thermoplasmatales	99.91	0.5
RS_GCF_015062915.1	Methanobacteriales	92.28	0.18
RS_GCF_900110865.1	Halobacteriales	100.0	2.49
GB_GCA_038852285.1	40CM-2-53-6	98.99	1.78
GB_GCA_038845265.1	Caldarchaeales	93.27	1.94
RS_GCF_001316245.1	Thermoproteales	81.58	2.92
GB_GCA_022848865.1	RBG-16-68-12	95.79	0.71
GB_GCA_004015825.1	Halobacteriales	99.98	1.89
RS_GCF_024372725.1	Methanosarcinales	99.74	0.77
GB_GCA_000350305.1	Methanomassiliicoccales	99.68	0.71
RS_GCF_004137855.1	Methanosarcinales	89.98	0.27
GB_GCA_025058515.1	Caldarchaeales	95.46	1.58
GB_GCA_020355185.1	PWEA01	79.03	0.68
GB_GCA_024256245.1	Nitrososphaerales	93.28	2.35
RS_GCF_000328525.1	Halobacteriales	99.89	0.7
RS_GCF_000019605.1	Korarchaeales	99.71	0.87
GB_GCA_938017505.1	Sulfolobales	81.93	1.77
GB_GCA_003551675.1	Halarchaeoplasmatales	93.88	1.86
GB_GCA_035656255.1	UBA184	92.2	0.44
RS_GCF_000186365.1	Sulfolobales	100.0	0.18
GB_GCA_038882955.1	Bathyarchaeales	95.59	6.09
RS_GCF_008389435.1	Nitrososphaerales	98.93	0.51
GB_GCA_013390745.1	Nitrososphaerales	86.44	0.0
GB_GCA_003724325.1	Nitrososphaerales	85.0	0.02
GB_GCA_025059195.1	Bathyarchaeales	92.46	1.83
RS_GCF_009831455.1	Halobacteriales	99.78	1.28
RS_GCF_000337175.1	Halobacteriales	99.95	0.61
GB_GCA_026014495.1	Bathyarchaeales	93.13	2.28
GB_GCA_030372945.1	Methanotrichales	95.99	1.86
GB_GCA_018396815.1	40CM-2-53-6	100.0	0.91
GB_GCA_018238375.1	Thorarchaeales	92.59	5.31
GB_GCA_023381355.1	Thermoplasmatales	89.82	0.06
RS_GCF_029338235.1	Halobacteriales	94.47	2.79
RS_GCF_002761295.1	Methanosarcinales	99.99	0.1
GB_GCA_025059075.1	Sulfolobales	91.85	0.1
RS_GCF_032594095.1	Methanosarcinales	82.1	0.0
GB_GCA_016201435.1	Nitrososphaerales	96.28	8.86
GB_GCA_025934495.1	Nitrososphaerales	95.72	1.28
RS_GCF_031200575.1	Thermoplasmatales	99.33	0.56
GB_GCA_022775905.1	Methanobacteriales	99.98	0.44
GB_GCA_038878695.1	Sulfolobales	98.29	0.0
GB_GCA_027064305.1	Methanopyrales	89.19	0.28
GB_GCA_020348365.1	Bathyarchaeales	63.27	0.6
GB_GCA_030656015.1	Methanobacteriales	98.66	0.88
GB_GCA_018303625.1	Woesearchaeales	95.45	0.54
GB_GCA_003023565.1	Halobacteriales	89.19	0.36
GB_GCA_002504405.1	Methanomassiliicoccales	99.39	0.46
RS_GCF_009741975.1	Halobacteriales	87.12	0.3
GB_GCA_035161305.1	Sulfolobales	96.51	0.03
GB_GCA_025937665.1	Nitrososphaerales	92.08	1.99
GB_GCA_016932675.1	Methanosarcinales	94.06	0.02
GB_GCA_018238825.1	Thorarchaeales	87.78	3.9
GB_GCA_038883655.1	Bathyarchaeales	93.25	6.51
GB_GCA_021811925.1	Sysuiplasmatales	85.47	0.82
GB_GCA_025451315.1	Nitrososphaerales	92.77	3.96
GB_GCA_016184315.1	Nitrososphaerales	91.92	2.24
RS_GCF_000196895.1	Halobacteriales	98.58	0.2
GB_GCA_018052825.1	Methanotrichales	94.13	0.01
GB_GCA_015521945.1	Hydrothermarchaeales	91.41	0.59
GB_GCA_038851035.1	VGTL01	99.04	1.09
GB_GCA_035557795.1	RBG-16-68-12	90.96	3.19
GB_GCA_015522635.1	Sulfolobales	95.76	1.67
GB_GCA_003021785.1	Halobacteriales	90.58	0.82
RS_GCF_002214465.1	Thermococcales	99.97	0.03
GB_GCA_026988525.1	Archaeoglobales	99.8	0.07
GB_GCA_035636595.1	RBG-16-68-12	94.32	3.69
RS_GCF_028890305.1	Methanobacteriales	99.88	0.23
RS_GCF_001989615.1	Halobacteriales	99.99	0.48
GB_GCA_015661555.1	Methanococcales	99.8	1.34
GB_GCA_027619455.1	Nitrososphaerales	98.18	0.01
GB_GCA_027315165.1	UBA184	94.45	2.02
GB_GCA_014730115.1	Anstonellales	83.39	0.19
GB_GCA_963667665.1	Nitrososphaerales	99.97	1.27
GB_GCA_035501555.1	UBA184	93.77	1.98
GB_GCA_029258915.1	EX4484-217-1	99.66	0.75
RS_GCF_021023085.1	Methanocellales	100.0	1.92
RS_GCF_030055435.1	Methanobacteriales	99.73	0.04
GB_GCA_026396285.1	Norongarragalinales	91.35	0.73
RS_GCF_040878665.1	Nitrososphaerales	99.31	1.61
GB_GCA_032249235.1	Gearchaeales	91.05	1.17
GB_GCA_009784175.1	Bathyarchaeales	82.66	0.83
GB_GCA_041599855.1	JACQPN01	100.0	3.72
GB_GCA_014894395.1	DHVEG-1	92.66	0.67
GB_GCA_021809545.1	UBA184	98.98	0.03
RS_GCF_000299395.1	Nitrososphaerales	99.56	0.12
GB_GCA_038861545.1	Thermofilales	92.01	0.21
GB_GCA_012523385.1	Methanomicrobiales	82.39	1.48
RS_GCF_002506515.1	Thermoproteales	98.84	0.12
GB_GCA_016212395.1	JACRGF01	89.31	0.02
GB_GCA_937873375.1	Bathyarchaeales	95.98	0.49
RS_GCF_035390745.1	Methanosarcinales	99.88	0.01
GB_GCA_038832005.1	Caldarchaeales	90.32	0.41
GB_GCA_022865705.1	40CM-2-53-6	91.57	6.34
RS_GCF_000337135.1	Halobacteriales	96.76	1.19
RS_GCF_027066465.1	Thermococcales	91.99	4.67
GB_GCA_021296175.1	Nitrososphaerales	91.5	0.27
GB_GCA_902384555.1	Anstonellales	91.97	0.58
GB_GCA_034521675.1	Halobacteriales	87.21	0.7
GB_GCA_035532555.1	UBA184	95.97	0.8
GB_GCA_000508305.1	Sulfolobales	100.0	0.14
GB_GCA_001856825.1	Thermoplasmatales	93.23	0.51
RS_GCF_000016125.1	Methanococcales	99.85	0.2
RS_GCF_001639295.1	Methanobacteriales	94.89	0.0
GB_GCA_026396455.1	Fermentimicrarchaeales	91.62	0.52
RS_GCF_000327505.1	Aciduliprofundales	99.42	0.21
RS_GCF_900248165.1	Nitrososphaerales	99.37	0.11
GB_GCA_963676675.1	Methanomicrobiales	99.56	1.25
GB_GCA_029259245.1	Thermococcales	97.57	0.75
RS_GCF_000221185.1	Thermococcales	99.34	0.46
GB_GCA_002839645.1	Methanomicrobiales	99.5	2.0
GB_GCA_014727915.1	IMC4	90.63	1.21
RS_GCF_013340765.1	Conexivisphaerales	99.33	0.71
GB_GCA_038735125.1	Sulfolobales	99.89	0.53
GB_GCA_020348945.1	Bathyarchaeales	78.72	0.99
GB_GCA_038849025.1	Bathyarchaeales	88.83	5.77
GB_GCA_036625595.1	Halobacteriales	94.93	3.88
GB_GCA_020833415.1	Sulfolobales	82.37	0.49
GB_GCA_012518185.1	Methanomassiliicoccales	95.68	2.05
GB_GCA_016872015.1	Nitrososphaerales	93.36	0.02
GB_GCA_001593925.1	Bathyarchaeales	84.82	0.58
GB_GCA_016866895.1	Anstonellales	95.69	3.4
RS_GCF_000517625.1	Halobacteriales	99.95	0.47
RS_GCF_023698535.1	Halobacteriales	99.99	1.12
GB_GCA_001717015.1	Methanomethylicales	74.5	0.45
RS_GCF_009729015.1	Sulfolobales	99.9	0.61
GB_GCA_016871975.1	Nitrososphaerales	85.53	2.29
GB_GCA_021372335.1	Methanomassiliicoccales	94.25	0.39
GB_GCA_027316895.1	Thermoplasmatales	98.44	0.41
RS_GCF_017406825.1	Methanobacteriales	94.48	4.58
GB_GCA_029882335.1	Heimdallarchaeales	94.33	4.71
GB_GCA_021819135.1	UBA184	91.25	0.35
RS_GCF_027012695.1	Thermococcales	90.82	0.05
GB_GCA_035631875.1	Nitrososphaerales	99.99	0.07
RS_GCF_024662215.1	Methanomicrobiales	99.1	0.18
GB_GCA_023249275.1	Methanosarcinales	96.75	2.2
GB_GCA_038882935.1	Archaeoglobales	98.41	0.0
RS_GCF_963678545.1	Methanosarcinales	100.0	1.16
GB_GCA_001918745.1	40CM-2-53-6	80.11	3.15
RS_GCF_024490875.1	Methanococcales	99.78	0.0
GB_GCA_025361645.1	Methanotrichales	97.25	0.85
GB_GCA_021414105.1	Nitrososphaerales	91.62	0.46
RS_GCF_902774605.1	Methanobacteriales	96.12	0.69
RS_GCF_009806985.1	Halobacteriales	93.66	1.05
RS_GCF_902827225.1	Methanococcales	98.72	0.02
GB_GCA_030919125.1	Methanomicrobiales	94.98	0.2
GB_GCA_038831135.1	Sulfolobales	93.15	0.05
GB_GCA_015520705.1	Thermococcales	98.01	3.26
GB_GCA_026394635.1	Methanomicrobiales	84.24	2.27
GB_GCA_963675495.1	Methanosarcinales	100.0	0.16
GB_GCA_019084405.1	Methanobacteriales	97.43	0.11
GB_GCA_041669745.1	Methanomassiliicoccales	89.83	1.05
GB_GCA_023267855.1	Caldarchaeales	97.93	0.89
GB_GCA_002501695.1	Methanosarcinales	93.45	0.73
GB_GCA_015521685.1	Sulfolobales	96.94	0.1
GB_GCA_035559775.1	Sulfolobales	86.35	0.29
RS_GCF_002214545.1	Thermococcales	99.86	0.06
RS_GCF_001469875.2	Halobacteriales	98.99	0.19
GB_GCA_018396725.1	40CM-2-53-6	98.87	4.07
GB_GCA_005878615.1	RBG-16-68-12	85.39	1.03
RS_GCF_902785855.1	Methanobacteriales	95.31	0.06
GB_GCA_028678555.1	Methanomicrobiales	77.98	0.37
GB_GCA_019056875.1	Jordiarchaeales	99.38	5.18
RS_GCF_000970085.1	Methanosarcinales	99.99	1.03
GB_GCA_025517465.1	Halobacteriales	99.2	1.85
RS_GCF_002501655.1	Methanomicrobiales	94.48	3.66
GB_GCA_027368075.1	Thermoplasmatales	83.57	0.56
GB_GCA_023436625.1	Methanomicrobiales	96.97	2.53
RS_GCF_014647155.1	Halobacteriales	98.23	3.11
GB_GCA_902386255.1	Methanosarcinales	96.37	1.56
GB_GCA_003560595.1	Halarchaeoplasmatales	92.72	0.71
GB_GCA_038832545.1	Thermoproteales	95.1	4.64
GB_GCA_000496135.1	Thermoplasmatales	96.29	0.29
RS_GCF_001304615.2	Methanosarcinales	99.99	0.27
GB_GCA_021794355.1	Thermoplasmatales	97.19	0.71
GB_GCA_003315675.1	Methanomicrobiales	88.4	1.35
RS_GCF_000023965.1	Halobacteriales	99.98	0.48
GB_GCA_963676575.1	Methanomicrobiales	91.73	0.16
GB_GCA_937896495.1	Nitrososphaerales	94.87	2.22
GB_GCA_034658575.1	Methanosarcinales	80.18	0.23
GB_GCA_029984855.1	Archaeoglobales	99.99	2.88
RS_GCF_000446015.1	Thermofilales	99.96	0.27
RS_GCF_014647115.1	Halobacteriales	99.88	1.46
GB_GCA_028275145.1	Halobacteriales	77.2	2.65
GB_GCA_025054795.1	Caldarchaeales	78.89	0.75
GB_GCA_030612365.1	Thorarchaeales	88.26	1.73
GB_GCA_030550585.1	Sulfolobales	99.92	1.95
GB_GCA_020343435.1	Pacearchaeales	85.63	0.36
GB_GCA_034660895.1	Bathyarchaeales	91.96	3.66
GB_GCA_036794525.1	Methanomicrobiales	91.95	2.5
GB_GCA_016874685.1	Methanobacteriales	96.7	0.12
RS_GCF_003697815.1	Halobacteriales	95.27	0.35
GB_GCA_021806235.1	Thermoplasmatales	99.04	0.55
GB_GCA_003022925.1	Halobacteriales	77.75	0.1
GB_GCA_021835025.1	Thermoplasmatales	96.24	1.2
GB_GCA_024644385.1	Nitrososphaerales	95.91	1.81
GB_GCA_003162615.1	Methanotrichales	93.41	2.43
GB_GCA_020696365.1	UBA10834	86.49	1.5
RS_GCF_028747785.1	Halobacteriales	99.97	9.25
RS_GCF_008124605.1	Halobacteriales	99.21	0.07
GB_GCA_030445725.1	Methanomassiliicoccales	98.8	0.06
GB_GCA_963606955.1	Methanobacteriales	99.87	0.26
RS_GCF_000012545.1	Methanobacteriales	99.97	0.24
GB_GCA_041287395.1	Sulfolobales	96.28	1.36
RS_GCF_000147875.1	Methanomicrobiales	99.89	1.0
RS_GCF_022768985.1	Methanobacteriales	98.07	0.06
GB_GCA_031286225.1	Methanobacteriales	93.91	0.04
GB_GCA_035639375.1	Nitrososphaerales	96.83	3.04
GB_GCA_038831915.1	Caldarchaeales	95.58	0.49
RS_GCF_041821145.1	Halobacteriales	99.92	2.13
RS_GCF_029167045.1	Methanotrichales	94.5	0.61
GB_GCA_000830295.1	Woesearchaeales	96.77	0.67
RS_GCF_937906425.1	Methanobacteriales	93.45	0.16
GB_GCA_902386205.1	Methanosarcinales	95.3	2.89
GB_GCA_041640095.1	Halobacteriales	87.44	5.04
GB_GCA_002495185.1	UBA184	85.9	1.36
GB_GCA_001595945.1	DHVEG-1	94.45	0.16
RS_GCF_025517535.1	Halobacteriales	99.89	1.65
GB_GCA_023269855.1	Caldarchaeales	95.94	1.28
GB_GCA_023261815.1	Caldarchaeales	92.4	1.19
GB_GCA_030694985.1	Methanomicrobiales	96.09	0.74
GB_GCA_019057375.1	Heimdallarchaeales	89.22	4.95
GB_GCA_029882515.1	Bathyarchaeales	87.81	4.98
RS_GCF_000969885.1	Methanosarcinales	99.95	0.78
GB_GCA_030038445.1	Nitrososphaerales	89.7	0.16
GB_GCA_030149205.1	Heimdallarchaeales	93.51	2.82
GB_GCA_029838195.1	Sigynarchaeales	96.61	7.87
GB_GCA_038817485.1	Caldarchaeales	98.25	1.42
GB_GCA_023544565.1	Methanosarcinales	92.53	0.11
RS_GCF_001548675.1	Methanobacteriales	99.96	0.39
GB_GCA_035289625.1	Iainarchaeales	94.6	0.16
GB_GCA_038883475.1	Bathyarchaeales	93.97	1.19
GB_GCA_038817885.1	Bathyarchaeales	93.63	0.97
GB_GCA_028274925.1	Halobacteriales	86.07	1.86
GB_GCA_028717345.1	Methanosarcinales	95.9	2.88
RS_GCF_009791395.1	Halobacteriales	99.63	1.0
GB_GCA_017883965.1	Alkanophagales	92.72	1.32
GB_GCA_038868975.1	Nitrososphaerales	97.81	0.31
RS_GCF_003947435.1	Korarchaeales	98.32	5.44
RS_GCF_028275055.1	Halobacteriales	79.22	0.48
GB_GCA_041489375.1	TCS64	88.29	5.64
GB_GCA_041494285.1	Methanotrichales	99.28	1.14
